Page,Product_Name,Vendor_Raw,Vendor_Clean,Star_Rating_Raw,Star_Rating_Clean
2,Shure SRH1840 Professional Open Back Headphones,Shure,Shure,3.0,3.0
2,Shure SE535LTD Limited Edition Red Sound Isolating Earphones with Remote + Mic,Shure,Shure,4.0,4.0
2,Shure SE535-V Sound Isolating Earphones with Triple High Definition MicroDrivers,Shure,Shure,5.0,5.0
2,Shure SE425-CL Sound Isolating Earphones with Dual High Definition MicroDrivers,Shure,Shure,4.0,4.0
2,Shure SE215SPE-W-BT1 Wireless Sound Isolating Earphones,Shure,Shure,5.0,5.0
2,Shure SE215m+SPE Special Edition Sound Isolating Earphones with Remote + Mic,Shure,Shure,5.0,5.0
2,Shure SE215-CL Sound Isolating Earphones,Shure,Shure,5.0,5.0
2,Shure RMCE-LTG Remote + Mic Lightning Accessory Cable SE Earphones,Shure,Shure,4.5,4.5
2,Shure MV5 Digital Condenser Microphone,Shure,Shure,5.0,5.0
2,Sennheiser RS 5000 Stethoset TV Listening Stystem,Sennheiser,Sennheiser,5.0,5.0
2,Sennheiser PXC 480 Active Noise-Canceling Headphones,Sennheiser,Sennheiser,5.0,5.0
2,Sennheiser MKE 440 Professional Stereo Shotgun Microphone (MKE 440),Sennheiser,Sennheiser,4.5,4.5
2,Sennheiser HD 599 Open Back Headphones,Sennheiser,Sennheiser,5.0,5.0
2,Sennheiser HD 579 Open Back Headphones,Sennheiser,Sennheiser,5.0,5.0
2,Sennheiser HD 569 Closed Back Headphones,Sennheiser,Sennheiser,5.0,5.0
2,Sennheiser HD 559 Open Back Headphones,Sennheiser,Sennheiser,4.5,4.5
3,Sennheiser HD 4.30G Around Ear Headphones,Sennheiser,Sennheiser,4.0,4.0
3,Sennheiser HD 4.20S Around Ear Headphones,Sennheiser,Sennheiser,5.0,5.0
3,Sennheiser GSP 500 Open Acoustic Gaming Headset,Sennheiser,Sennheiser,5.0,5.0
3,Sennheiser GSP 350 PC Gaming Headset with Dolby 7.1 Surround Sound,Sennheiser,Sennheiser,5.0,5.0
3,Sennheiser GSP 300 Closed Back Gaming Headset,Sennheiser,Sennheiser,5.0,5.0
3,Sennheiser CX Sport Bluetooth Sport In-Ear Headphones,Sennheiser,Sennheiser,3.0,3.0
3,Sennheiser CX 6.00 BT Wireless In-Ear Headphones,Sennheiser,Sennheiser,4.5,4.5
3,Sennheiser ClipMic Digital Mobile Recording Microphone for iOS Devices,Sennheiser,Sennheiser,5.0,5.0
3,Samsung WAM5500/ZA Radiant360 R5 Wi-Fi/Bluetooth Speaker,Samsung,Samsung,4.5,4.5
3,Samsung WAM3500/ZA Radiant360 R3 Wi-Fi/Bluetooth Speaker,Samsung,Samsung,5.0,5.0
3,Pioneer SE-MS7BT-K High Resolution Compatible Dynamic Sealed Bluetooth Headphones,Pioneer,Pioneer,4.5,4.5
3,Pioneer High Performance Hi-Res Balanced Wired In-Ear Headphones SE-CH5BL(K),Pioneer,Pioneer,0.0,0.0
3,Master Dynamic MW60 Wireless Over-Ear Headphones,Master & Dynamic,Master Dynamic,5.0,5.0
3,Master Dynamic MW50S1+ 2-In-1 Wireless On/Over-Ear Headphones,Master & Dynamic,Master Dynamic,5.0,5.0
3,Master Dynamic MH40 Over-Ear Headphones,Master & Dynamic,Master Dynamic,4.0,4.0
3,Marantz TT42 Fully Automatic Belt Drive Turntable,Marantz,Marantz,4.5,4.5
3,Marantz TT-15S1 Reference Belt Drive Turntable with Cartridge,Marantz,Marantz,5.0,5.0
3,Klipsch The One,Klipsch,Klipsch,5.0,5.0
3,Klipsch Reference On-Ear Bluetooth Headphones,Klipsch,Klipsch,5.0,5.0
3,Klipsch R6i In-Ear Headphones,Klipsch,Klipsch,5.0,5.0
3,Klipsch Heritage Wireless Three Tabletop Stereo System,Klipsch,Klipsch,0.0,0.0
3,Klipsch Heritage HP-3 Headphones,Klipsch,Klipsch,5.0,5.0
3,JBL Xtreme 2 Portable Wireless Bluetooth Speakers,JBL,Jbl,4.5,4.5
3,JBL Under Armour Sport Wireless Train On-Ear Headphones,JBL,Jbl,4.5,4.5
4,JBL Tune 600 BTNC On-Ear Wireless Bluetooth Noise Canceling Headphones,JBL,Jbl,5.0,5.0
4,JBL Tune 205BT Wireless Earbuds,JBL,Jbl,4.0,4.0
4,JBL Reflect Mini 2 Wireless In-Ear Sport Headphones with Three-Button Remote and Mic,JBL,Jbl,4.5,4.5
4,JBL Reflect Fit In-Ear Wireless Headphones with Heart-Rate Monitor,JBL,Jbl,4.5,4.5
4,JBL Playlist Wireless Speaker with Chromecast Built-In,JBL,Jbl,3.0,3.0
4,JBL Live 650BTNC Wireless Over-Ear NC Headphones,JBL,Jbl,5.0,5.0
4,JBL Live 200 In-Ear Neckband Headphones,JBL,Jbl,5.0,5.0
4,JBL Live 100 In-Ear Headphones,JBL,Jbl,4.5,4.5
4,JBL Link 20 Voice Activated Portable Speaker,JBL,Jbl,5.0,5.0
4,"JBL Everest 310 On-Ear Wireless Headphones, with Google Assistant",JBL,Jbl,5.0,5.0
4,JBL Endurance Peak Waterproof Sport In-Ear Headphones with Built-In Remote and Mic,JBL,Jbl,5.0,5.0
4,JBL Endurance 500 Jump In-Ear Bluetooth Sport Headphones,JBL,Jbl,5.0,5.0
4,JBL E65BTNC Wireless Over-Ear Noise-Cancelling Headphones with Mic and One-Button Remote,JBL,Jbl,4.5,4.5
4,JBL E55BT Quincy Edition Wireless Over-Ear Headphones,JBL,Jbl,5.0,5.0
4,JBL Charge 4 Portable Waterproof Wireless Bluetooth Speaker,JBL,Jbl,5.0,5.0
4,JBL Charge 3 Portable Bluetooth Speaker,JBL,Jbl,3.0,3.0
4,Harman Kardon Soho Wireless On-Ear Headphones,Harman Kardon,Harman Kardon,5.0,5.0
4,Harman Kardon Omni50+ Streaming Weatherproof HD Speaker Bluetooth,Harman Kardon,Harman Kardon,4.0,4.0
4,Harman Kardon Omni 20+ Wireless Stereo HD Loudspeaker,Harman Kardon,Harman Kardon,5.0,5.0
4,Harman Kardon Omni 10+ Wireless HD Loudspeaker,Harman Kardon,Harman Kardon,4.5,4.5
4,"Harman Kardon Invoke Voice-Activated Speaker, with Cortana",Harman Kardon,Harman Kardon,5.0,5.0
4,Harman Kardon Go+Play Mini Portable Bluetooth Player,Harman Kardon,Harman Kardon,4.0,4.0
4,Harman Kardon Esquire Portable Wireless Speaker and Conferencing System,Harman Kardon,Harman Kardon,4.5,4.5
4,Harman Kardon Esquire 2 Portable Wireless Speaker and Conferencing System,Harman Kardon,Harman Kardon,5.0,5.0
5,Harman Kardon Citation ONE Smart Home Speaker,Harman Kardon,Harman Kardon,5.0,5.0
5,Harman Kardon Citation 500 Smart Home Speaker,Harman Kardon,Harman Kardon,4.5,4.5
5,Harman Kardon Citation 300 Smart Home Speaker,Harman Kardon,Harman Kardon,5.0,5.0
5,Harman Kardon Citation 100 Smart Home Speaker,Harman Kardon,Harman Kardon,0.0,0.0
5,Focal Stellia Closed Back Headphones,Focal,Focal,0.0,0.0
5,Focal Spark Wireless Bluetooth In-Ear Headphones,Focal,Focal,5.0,5.0
5,Focal Spark Wired In-Ear Headphones,Focal,Focal,5.0,5.0
5,Focal Listen Wireless On-Ear Bluetooth Headphones,Focal,Focal,4.0,4.0
5,Focal CMS 40 Carrying Bag,Focal,Focal,5.0,5.0
5,Focal Clear Professional Open-Back Reference Studio Headphones,Focal,Focal,0.0,0.0
5,Devialet VY510US Accessory Dialog Wireless Smart Hub for Phantom,Devialet,Devialet,4.5,4.5
5,Devialet Phantom Remote Super Power Control,Devialet,Devialet,0.0,0.0
5,Devialet Care 3 Year Insurance for Devialet Phantom,Devialet,Devialet,5.0,5.0
5,Denon AHGC20 Globe Cruiser Over-Ear Wireless Noise Cancelling Headphones,Denon,Denon,0.0,0.0
5,Denon AH-MM400 Music Maniac Over-Ear Headphones,Denon,Denon,4.5,4.5
5,Denon AH-MM200BK Music Maniac On-Ear Headphones,Denon,Denon,4.5,4.5
5,Denon AH-D7200 Reference Over-Ear Headphones,Denon,Denon,5.0,5.0
5,Cambridge YoYo (S) Portable Bluetooth Speaker,Cambridge,Cambridge,5.0,5.0
5,Cambridge YoYo (M) Bluetooth Speakers - Pair,Cambridge,Cambridge,5.0,5.0
5,Audio-Technica VMN70SP Replacement Stylus,Audio Technica,Audio Technica,4.5,4.5
5,Audio-Technica VMN60SLC Replacement Stylus,Audio Technica,Audio Technica,5.0,5.0
5,Audio-Technica VMN50SH Replacement Stylus,Audio Technica,Audio Technica,4.5,4.5
5,Audio-Technica VMN40ML Replacement Stylus,Audio Technica,Audio Technica,5.0,5.0
5,Audio-Technica VMN30EN Replacement Stylus,Audio Technica,Audio Technica,4.5,4.5
6,Audio-Technica VMN20EB Replacement Stylus,Audio Technica,Audio Technica,0.0,0.0
6,Audio-Technica VMN10CB Replacement Stylus,Audio Technica,Audio Technica,5.0,5.0
6,Audio-Technica VM750SH Dual Moving Magnet Cartridge,Audio Technica,Audio Technica,5.0,5.0
6,Audio-Technica VM740ML Dual Moving Magnet Cartridge,Audio Technica,Audio Technica,5.0,5.0
6,Audio-Technica VM540ML Dual Moving Magnet Cartridge,Audio Technica,Audio Technica,4.0,4.0
6,Audio-Technica VM530EN Dual Moving Magnet Cartridge,Audio Technica,Audio Technica,5.0,5.0
6,Audio-Technica VM520EB Dual Moving Magnet Cartridge,Audio Technica,Audio Technica,5.0,5.0
6,Audio Technica ATH-WS770iSBRD Solid Bass Over-Ear Headphones with In-line Mic & Control,Audio Technica,Audio Technica,4.5,4.5
6,Audio Technica ATH-WS1100iS Solid Bass Over-Ear Headphones with In-line Mic & Control,Audio Technica,Audio Technica,3.0,3.0
6,Audio-Technica ATH-SR9 Sound Reality Over-Ear Hi-Res Headphones,Audio Technica,Audio Technica,5.0,5.0
6,Audio Technica ATH-SR5 On-Ear High-Resolution Audio Headphones,Audio Technica,Audio Technica,5.0,5.0
6,Audio-Technica ATH-MSR7BK SonicPro Over-Ear Hi-Res Audio Headphones,Audio Technica,Audio Technica,4.0,4.0
6,Audio-Technica ATH-LS400iS In-Ear Quad Armature Driver Headphones with In-line Mic & Control,Audio Technica,Audio Technica,4.5,4.5
6,Audio-Technica ATH-LS300iS In-Ear Triple Armature Driver Headphones with In-line Mic & Control,Audio Technica,Audio Technica,4.5,4.5
6,Audio-Technica ATH-LS200iS In-Ear Dual Armature Driver Headphones with In-line Mic & Control,Audio Technica,Audio Technica,5.0,5.0
6,Audio-Technica ATH-CKS990iS Solid Bass In-Ear Headphones with In-line Mic & Control,Audio Technica,Audio Technica,5.0,5.0
6,Audio-Technica ATH-ANC9 QuietPoint Active Noise-Cancelling Headphones,Audio Technica,Audio Technica,4.0,4.0
6,Audio-Technica AT-OC9ML/II Dual Moving MicroCoil Cartridge,Audio Technica,Audio Technica,5.0,5.0
6,Audio-Technica AT-LP7 Fully Manual Belt-Drive Turntable,Audio Technica,Audio Technica,4.0,4.0
6,Audio-Technica AT-LP3WH Fully Automatic Belt-Drive Stereo Turntable,Audio Technica,Audio Technica,5.0,5.0
6,"Audio-Technica AT-LP1240-USBXP Direct-Drive Professional DJ Turntable, USB & Analog",Audio Technica,Audio Technica,4.0,4.0
6,"Audio Technica AT-LP120BK-USB Direct-Drive Professional Turntable, USB & Analog",Audio Technica,Audio Technica,5.0,5.0
6,AKG Y50 On-Ear Bluetooth Headphones,AKG,Akg,0.0,0.0
6,AKG N90Q Class Auto-Calibrating Noise Cancelling Headphones,AKG,Akg,4.5,4.5
7,AKG N60NCBT On-Ear Wireless Bluetooth Headphones,AKG,Akg,0.0,0.0
7,AKG N60 NC Noise Cancelling On-Ear Headphones,AKG,Akg,4.5,4.5
7,AKG N5005 Reference Class 5-Driver Configuration In-Ear Headphones,AKG,Akg,5.0,5.0
